excluded_industry,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,calculation
M74,0.09075230418555158,0.18971924041095994,0.4783505562691937,-0.322195661012603,0.9747922897268939,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
M75,0.0907720818340183,0.19014213656617385,0.47739066928191126,-0.3242199233182437,0.9750727965631787,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
N77,0.08936633875658129,0.18993122079678348,0.4705194774280876,-0.3245687739238188,0.9552214520991917,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
N78,0.0897563644471362,0.190124054760526,0.47209367883611764,-0.3243169445123161,0.9607117148314626,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
O80,0.09175322027005861,0.19023750084726987,0.4823087974842652,-0.3249719280683293,0.9890320107912896,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
P82,0.09080039153395036,0.18992716738829202,0.47808005975425144,-0.32578513017662925,0.975474374162209,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
Q83,0.09092604525998715,0.19036748844583126,0.47763431666988665,-0.32423274349396636,0.9772576520656655,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
R85,0.08831122272679148,0.19089857676444913,0.46260807295467277,-0.3224848757130724,0.9404360897233426,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
R86,0.09146791207251703,0.18984704692634347,0.4817979186581954,-0.32267296247343047,0.9849639222161217,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
R87,0.0893714328679398,0.1901664108955889,0.4699643456856811,-0.3244043614973432,0.9552930736932665,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
R88,0.09208894675082657,0.1899597578465849,0.4847813441897486,-0.32419191430244787,0.9938283051309753,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
S90,0.08965627796922981,0.19007739622931288,0.4716830078052354,-0.3243962327391088,0.9593015493933175,94,remaining long holdings renormalized monthly; 50bp turnover not reoptimized
