refit_month,target_type,target_horizon_months,ridge_alpha,history_start,history_end,maximum_training_realization_month,history_samples,validation_ic,alpha_intercept,alpha_beta,alpha_beta_t_stat,alpha_calibration_samples,signal_failure
2019-07-31,residual_3m,3,1000.0,2014-08-31,2019-03-31,2019-06-30,119387,0.06891572677897224,-0.002751225372376199,0.15655564738195954,7.952409075005101,31794,False
2019-10-31,residual_3m,3,1000.0,2014-08-31,2019-06-30,2019-09-30,127620,0.04298303817217344,-0.001101419012611529,0.06810859193082223,3.3894672304717757,32541,False
2020-01-31,residual_3m,3,1000.0,2014-08-31,2019-09-30,2019-12-31,135955,0.058154720550900145,-0.0004711837132184396,0.09413358245728763,4.190316855325854,32985,False
2020-04-30,residual_3m,3,1000.0,2014-08-31,2019-12-31,2020-03-31,144315,0.0644774111690351,-0.0008641873597536349,0.1433101439035627,5.9093457005130645,33202,False
2020-07-31,residual_3m,3,1000.0,2014-08-31,2020-03-31,2020-06-30,152812,0.0679526296214071,-0.0007235934702626884,0.1959525107225508,7.246594718522238,33425,False
2020-10-31,residual_3m,3,1000.0,2014-08-31,2020-06-30,2020-09-30,161365,0.07525165940228008,-6.436344395829049e-05,0.2547417438028913,7.9211919368803665,33745,False
2021-01-31,residual_3m,3,1000.0,2014-08-31,2020-09-30,2020-12-31,170220,0.06665959246540072,-0.0006940534203619661,0.25300509055323467,7.351944460994778,34265,False
2021-04-30,residual_3m,3,1000.0,2014-08-31,2020-12-31,2021-03-31,179147,0.07965947835953001,-0.002527823088569891,0.326712781486716,9.554194818159056,34832,False
2021-07-31,residual_3m,3,1000.0,2014-08-31,2021-03-31,2021-06-30,188270,0.0796225899124755,-0.0032951808443240434,0.28065160383799764,7.884793898563117,35458,False
2021-10-31,residual_3m,3,1000.0,2014-10-31,2021-06-30,2021-09-30,194369,0.0648812663875642,-0.0036006094004004327,0.16623316498693086,4.5134975250071,36270,False
2022-01-31,residual_3m,3,1000.0,2015-01-31,2021-09-30,2021-12-31,198803,0.07085257655701764,-0.0031141731172365616,0.22391116505888597,5.995478667204343,37116,False
2022-04-30,residual_3m,3,1000.0,2015-04-30,2021-12-31,2022-03-31,203423,0.0664919924592682,-0.0013829099649238588,0.15791158251469173,4.55725782202427,38213,False
2022-07-31,residual_3m,3,1000.0,2015-07-31,2022-03-31,2022-06-30,208449,0.078094026404478,-0.000935767877820636,0.22126596166084397,6.613111852383431,39587,False
2022-10-31,residual_3m,3,1000.0,2015-10-31,2022-06-30,2022-09-30,214027,0.06808656549614023,-0.0006527396635813082,0.15632124392231228,5.700366543070331,40934,False
2023-01-31,residual_3m,3,1000.0,2016-01-31,2022-09-30,2022-12-31,219358,0.06330799653262605,-0.0006017152088795513,0.14465504378478888,5.784499310880453,42155,False
2023-04-30,residual_3m,3,1000.0,2016-04-30,2022-12-31,2023-03-31,224626,0.05150664780969114,0.00013904587713926394,0.1360490940776769,5.51719112296895,43333,False
2023-07-31,residual_3m,3,1000.0,2016-07-31,2023-03-31,2023-06-30,230299,0.07699374495585785,0.00014647172883263892,0.29363209665193024,11.126947177036199,44366,False
2023-10-31,residual_3m,3,1000.0,2016-10-31,2023-06-30,2023-09-30,235924,0.10619177976080311,-0.000994623742802013,0.391817545793262,17.17973796896497,45395,False
2024-01-31,residual_3m,3,1000.0,2017-01-31,2023-09-30,2023-12-31,241624,0.10313690896128103,-7.075469124806558e-05,0.3783719042295579,16.77326068587213,46388,False
2024-04-30,residual_3m,3,1000.0,2017-04-30,2023-12-31,2024-03-31,247501,0.1380499694229542,-0.0005510661150764258,0.5238347736257327,22.772954082233447,47309,False
2024-07-31,residual_3m,3,1000.0,2017-07-31,2024-03-31,2024-06-30,253586,0.14803610111468044,-2.8813714376336505e-05,0.5988798784831557,27.243932486595515,48185,False
2024-10-31,residual_3m,3,1000.0,2017-10-31,2024-06-30,2024-09-30,259340,0.12907015003019653,0.0002504215183097955,0.540517889869939,23.281208044264815,48886,False
2025-01-31,residual_3m,3,1000.0,2018-01-31,2024-09-30,2024-12-31,264811,0.11502748438296058,-0.001365394616430098,0.30190901000326004,10.683878614708068,49442,False
2025-04-30,residual_3m,3,1000.0,2018-04-30,2024-12-31,2025-03-31,270272,0.09821546860126666,-0.0021362412328757826,0.2401933902104067,8.121115199784521,49863,False
2025-07-31,residual_3m,3,1000.0,2018-07-31,2025-03-31,2025-06-30,275353,0.07945280135231443,-0.003377581792324388,0.14320261935371809,4.6065803736228546,50024,False
2025-10-31,residual_3m,3,1000.0,2018-10-31,2025-06-30,2025-09-30,279929,0.06550365251758969,-0.0035057411688026803,0.03925262711504433,1.2385583777171925,50049,False
