refit_month,target_type,feature,standardized_coefficient
2020-01-31,original_1m,low_turnover,0.01673078871510822
2020-01-31,original_1m,lottery_avoidance,0.004988153733032175
2020-01-31,original_1m,residual_reversal,-0.012896624347752864
2020-01-31,original_1m,profitability_momentum,0.004834164798481212
2020-01-31,original_1m,value_composite,0.003643904339451806
2020-01-31,original_1m,quality_composite,-0.01354355600952556
2020-01-31,original_1m,long_term_reversal_12_1_missing,0.004988969416262921
2020-01-31,original_1m,earnings_yield_missing,-0.002491081231829041
2020-01-31,original_1m,book_to_market_missing,0.0009194952550409083
2020-01-31,original_1m,sales_to_price_missing,-0.0029846770956819283
2020-01-31,original_1m,low_volatility_missing,0.0
2020-01-31,original_1m,large_cap_stability_missing,0.0
2020-01-31,original_1m,short_reversal_missing,0.0
2020-01-31,original_1m,illiquidity_premium_missing,0.0
2020-01-31,original_1m,roe_missing,-0.00477858072732933
2020-01-31,original_1m,roa_missing,-0.0034518623466203184
2020-01-31,original_1m,gross_margin_missing,0.002986092804857566
2020-01-31,original_1m,cash_conversion_missing,0.0004634877037738
2020-01-31,original_1m,medium_reversal_3m_missing,0.0
2020-01-31,original_1m,medium_reversal_6m_missing,0.0
2020-01-31,original_1m,return_stability_6m_missing,0.0
2020-01-31,original_1m,return_stability_12m_missing,0.0
2020-01-31,original_1m,downside_stability_12m_missing,0.0013091328135614478
2020-01-31,original_1m,low_turnover_missing,0.0
2020-01-31,original_1m,lottery_avoidance_missing,0.0
2020-01-31,original_1m,residual_reversal_missing,0.0
2020-01-31,original_1m,profitability_momentum_missing,-0.003829771225531252
2020-01-31,original_1m,value_composite_missing,0.0002720203428046143
2020-01-31,original_1m,quality_composite_missing,0.0032631224317274275
2020-04-30,original_1m,long_term_reversal_12_1,-0.004629455418382176
2020-04-30,original_1m,earnings_yield,0.006509089535362476
2020-04-30,original_1m,book_to_market,0.004044423883118408
2020-04-30,original_1m,sales_to_price,0.0058508782482958556
2020-04-30,original_1m,low_volatility,0.001929935479692916
2020-04-30,original_1m,large_cap_stability,-0.004223979970059834
2020-04-30,original_1m,short_reversal,0.0256998890422821
2020-04-30,original_1m,illiquidity_premium,0.013511792049964664
2020-04-30,original_1m,roe,0.006698619622846172
2020-04-30,original_1m,roa,0.00932467370360526
2020-04-30,original_1m,gross_margin,0.01296786305914814
2020-04-30,original_1m,cash_conversion,0.008110940453527121
2020-04-30,original_1m,medium_reversal_3m,0.005846350672663512
2020-04-30,original_1m,medium_reversal_6m,-0.001362734171161086
2020-04-30,original_1m,return_stability_6m,-5.648441676842746e-05
2020-04-30,original_1m,return_stability_12m,0.008464030564117443
2020-04-30,original_1m,downside_stability_12m,-0.0012475702829606234
2020-04-30,original_1m,low_turnover,0.017012858253150385
2020-04-30,original_1m,lottery_avoidance,0.004740953167899822
2020-04-30,original_1m,residual_reversal,-0.011966284784160933
2020-04-30,original_1m,profitability_momentum,0.005159138263961264
2020-04-30,original_1m,value_composite,0.003663495374691801
2020-04-30,original_1m,quality_composite,-0.013588508883963155
2020-04-30,original_1m,long_term_reversal_12_1_missing,0.004888582742478145
2020-04-30,original_1m,earnings_yield_missing,-0.0030076193378460385
2020-04-30,original_1m,book_to_market_missing,0.00022967032706504528
2020-04-30,original_1m,sales_to_price_missing,-0.002815564768659495
