signal_month,realization_month,period,long_short_gross_return,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return,explicit_cost,impact_proxy_cost,net_return,net_return_0bps,net_return_20bps,net_return_50bps,net_return_100bps
2022-01-31,2022-02-28,selection,-0.0253899534230795,0.8523792329991622,-0.0270947118890778,-0.0305965588041646,0.0017047584659983244,0.0035018469150867974,-0.03059655880416462,-0.0253899534230795,-0.027094711889077822,-0.029651849588075308,-0.03391374575307112
2022-02-28,2022-03-31,selection,0.0101417849958515,0.2161667253372467,0.009709451545177,0.0088214879734082,0.0004323334506744934,0.0008879635717687993,0.008821487973408206,0.0101417849958515,0.009709451545177005,0.009060951369165265,0.007980117742479031
2022-03-31,2022-04-30,selection,0.0857143713895929,0.1431109595317669,0.0854281494705294,0.0848663167138549,0.0002862219190635338,0.0005618327566744991,0.08486631671385486,0.0857143713895929,0.08542814947052936,0.08499881659193406,0.08428326179427523
2022-04-30,2022-05-31,selection,-0.0021860942188783,0.450690846080475,-0.0030874759110393,-0.0051398664594951,0.00090138169216095,0.0020523905484557997,-0.0051398664594950495,-0.0021860942188783,-0.0030874759110392502,-0.004439548449280675,-0.006693002679683049
2022-05-31,2022-06-30,selection,-0.0287532956075084,0.1903296927521656,-0.0291339549930127,-0.0299566849623712,0.0003806593855043312,0.0008227299693585009,-0.029956684962371232,-0.0287532956075084,-0.02913395499301273,-0.029704944071269227,-0.030656592535030055
2022-06-30,2022-07-31,selection,0.0039007703247477,0.2270511352620747,0.0034466680542235,0.0025793515065336,0.0004541022705241494,0.0008673165476899003,0.0025793515065336502,0.0039007703247477,0.0034466680542235505,0.0027655146484373266,0.001630258972126953
2022-07-31,2022-08-31,selection,0.0498830592046264,0.8300912464226928,0.048222876711781,0.0449159706252376,0.0016601824928453859,0.0033069060865434027,0.04491597062523761,0.0498830592046264,0.048222876711781014,0.045732602972512935,0.04158214674039947
2022-08-31,2022-09-30,selection,0.0515193426293174,0.243109936214861,0.0510331227568876,0.050103967809331,0.00048621987242972197,0.0009291549475566041,0.050103967809331074,0.0515193426293174,0.05103312275688768,0.050303792948243095,0.04908824326716879
2022-09-30,2022-10-31,selection,-0.0239424782857918,0.1821290230698562,-0.0243067363319315,-0.0249929203903267,0.00036425804613971245,0.0006861840583952013,-0.024992920390326714,-0.0239424782857918,-0.024306736331931512,-0.02485312340114108,-0.02576376851649036
2022-10-31,2022-11-30,selection,-0.0026707948460779,0.83046094578506,-0.004331716737648,-0.007974120522158,0.00166092189157012,0.00364240378451,-0.00797412052215802,-0.0026707948460779,-0.00433171673764802,-0.0068230995750032004,-0.0109754043039285
2022-11-30,2022-12-31,selection,-0.0034605315597806,0.2281644572603361,-0.0039168604743013,-0.004893200489281,0.00045632891452067223,0.0009763400149796998,-0.004893200489280972,-0.0034605315597806,-0.003916860474301272,-0.0046013538460822805,-0.005742176132383961
2022-12-31,2023-01-31,selection,-0.0100821491329737,0.1863552155588124,-0.0104548595640914,-0.011142181320859,0.0003727104311176248,0.0006873217567675994,-0.011142181320858924,-0.0100821491329737,-0.010454859564091324,-0.011013925210767762,-0.011945701288561823
