signal_month,realization_month,period,long_gross_return,short_sale_gross_return,long_turnover,short_turnover,long_net_return_20bps,short_sale_net_return_20bps,long_contribution,short_contribution,long_unresolved_weight,short_unresolved_weight,long_names,short_names,period_long_sharpe_20bps,period_short_sharpe_20bps
2022-10-31,2022-11-30,selection,0.09337103024389744,-0.07958578795502548,0.6511564318573314,0.7066478402884542,0.09206871738018277,-0.08099908363560239,0.09337103024389744,-0.07958578795502548,0.0,0.0,334,334,0.17598020530633632,0.8080159516597978
2022-11-30,2022-12-31,selection,-0.026593877894763963,0.054705349758595895,0.6410213553695471,0.7052397973487123,-0.027875920605503056,0.05329487016389847,-0.026593877894763963,0.054705349758595895,0.0,0.0,341,341,0.17598020530633632,0.8080159516597978
2022-12-31,2023-01-31,selection,0.07003121219468544,-0.03418719324334945,0.6277031370152869,0.7504618795825466,0.06877580592065487,-0.03568811700251454,0.07003121219468544,-0.03418719324334945,0.0,0.0,345,345,0.17598020530633632,0.8080159516597978
2023-01-31,2023-02-28,selection,0.04080403050108919,-0.007429407626916681,0.5920017987173124,0.6841994333031168,0.039620026903654564,-0.008797806493522915,0.04080403050108919,-0.007429407626916681,0.0,0.0,348,348,0.17598020530633632,0.8080159516597978
2023-02-28,2023-03-31,selection,-0.008060991588131075,0.0034570107844043223,0.5524306350032303,0.7692786485209352,-0.009165852858137535,0.001918453487362452,-0.008060991588131075,0.0034570107844043223,0.0,0.0,348,348,0.17598020530633632,0.8080159516597978
2023-03-31,2023-04-30,selection,0.02280217991913732,-0.0021076165290647778,0.642629404700494,0.7043558296022867,0.021516921109736332,-0.0035163281882693515,0.02280217991913732,-0.0021076165290647778,0.0,0.0,355,355,0.17598020530633632,0.8080159516597978
2023-04-30,2023-05-31,selection,-0.007876658981656546,0.028259737451635857,0.6756289940515684,0.6611305733897915,-0.009227916969759683,0.026937476304856274,-0.007876658981656546,0.028259737451635857,0.0,0.0,356,356,0.17598020530633632,0.8080159516597978
2023-05-31,2023-06-30,selection,0.01906761125418736,-0.026170016224801522,0.5963264358671918,0.7413701309480862,0.017874958382452975,-0.027652756486697693,0.01906761125418736,-0.026170016224801522,0.0,0.0,357,357,0.17598020530633632,0.8080159516597978
2023-06-30,2023-07-31,selection,0.046534262673099826,0.023669588538199223,0.6316153612628713,0.6532377316997812,0.04527103195057408,0.02236311307479966,0.046534262673099826,0.023669588538199223,0.0,0.0,362,362,0.17598020530633632,0.8080159516597978
2023-07-31,2023-08-31,selection,-0.04873162979570902,0.048728190147175984,0.5840897699571863,0.7438037142665092,-0.049899809335623393,0.04724058271864297,-0.04873162979570902,0.048728190147175984,0.0,0.0,363,363,0.17598020530633632,0.8080159516597978
