signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return,exposure,scaled_turnover,scaled_gross_return,scaled_net_return,hedge_index_return,estimated_beta,hedge_notional,hedge_turnover,hedge_trade_cost,hedge_roll_cost,overlay_gross_return,overlay_net_return
2022-04-30,2022-05-31,0.0882709677710859,0.2913165266106458,356,0.75,0.2,0.0876883347178646,0.7878885969168294,0.3922412299236423,0.0695476889456516,0.0687632064858043,0.07077769300729675,0.8303970747911564,0.4151985373955782,0.038586657772777644,1.9293328886388822e-05,0.0003459987811629819,0.05888417315422304,0.05793624799095237
2022-05-31,2022-06-30,0.0646429398053045,0.2829131652661084,357,0.75,0.2,0.0640771134747722,0.7119143998192389,0.2773841533489732,0.0460202396940445,0.0454654713873465,0.07099564557103344,0.8857953506113779,0.44289767530568896,0.02769913791011075,1.3849568955055375e-05,0.0003690813960880741,0.03319913342506716,0.032250376129491734
2022-06-30,2022-07-31,0.011259312258357,0.2349726775956289,366,0.75,0.2,0.0107893669031658,0.6789304532982423,0.1925140530336986,0.0076442899753928,0.0072592618693254,-0.0247854689142607,0.885396531663393,0.4426982658316965,0.00019940947399244013,9.970473699622007e-08,0.0003689152215264138,0.022231796364525633,0.021392836083071024
2022-07-31,2022-08-31,-0.0086580432887005,0.3306010928961752,366,0.75,0.2,-0.0093192454744929,0.7042077849651736,0.2497324815278257,-0.0060970614864684,-0.006596526449524,-0.02198515508635579,0.8714882131021926,0.4357441065510963,0.006954159280600225,3.4770796403001126e-06,0.00036312008879258026,0.0009218584717908939,-0.00010594088243438664
2022-08-31,2022-09-30,-0.0681241344369616,0.3825136612021867,365,0.75,0.2,-0.068889161759366,0.7132634075600336,0.2784247206689708,-0.0485904522655851,-0.049147301706923,-0.07175343768897746,0.9364808161342192,0.4682404080671096,0.03249630151601329,1.6248150758006645e-05,0.00039020034005592466,-0.03452627549325687,-0.035697751306475206
2022-09-30,2022-10-31,0.0258421351982877,0.3288043478260875,368,0.75,0.2,0.0251845265026355,0.6739378187718605,0.2609192737647906,0.0174159922279415,0.0168941536804119,0.016282355236791224,0.9567799648316259,0.47838998241581293,0.010149574348703339,5.074787174351669e-06,0.0003986583186798441,0.01805281956287113,0.016991477761364737
2022-10-31,2022-11-30,0.0881596227927454,0.3908355795148333,371,0.75,0.2,0.0873779516337157,0.6758387956121406,0.2652998547969428,0.0595816932898696,0.0590510935802757,0.06010280521166411,0.9556759413313314,0.4778379706656657,0.000552011750147241,2.760058750736205e-07,0.0003981983088880547,0.059440220319090034,0.0582600748452972
2022-11-30,2022-12-31,-0.0256973534299828,0.3244680851063879,376,0.75,0.2,-0.0263462896001956,0.6455373390666872,0.2397577208170944,-0.0165886011542473,-0.0170681165958815,-0.04738043517049506,0.9689118955972489,0.48445594779862444,0.006617977132958752,3.308988566479376e-06,0.00040371328983218705,-0.002743619802349332,-0.0037995782509608
2022-12-31,2023-01-31,0.0680591324751695,0.2796833773087127,379,0.75,0.2,0.067499765720552,0.6622565229681521,0.1972652470705155,0.0450726044292345,0.0446780739350935,0.07241798950880152,0.9494504852274284,0.4747252426137142,0.00973070518491026,4.86535259245513e-06,0.0003956043688447618,0.03368048483600629,0.032720648359951574
2023-01-31,2023-02-28,0.0441822394086525,0.3420365535248076,383,0.75,0.2,0.0434981663016029,0.6825930555514321,0.2468524712486294,0.030158489799057,0.0296647848565597,0.010874663730733314,0.9443312246758592,0.4721656123379296,0.002559630275784597,1.2798151378922984e-06,0.0003934713436149413,0.03904759714926173,0.0379687728834593
